,Series_Title,Genre,Overview,Director,Actors
635,Walk the Line,"Biography, Drama, Music","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",James Mangold,Joaquin PhoenixReese WitherspoonGinnifer Goodwin
636,Ondskan,Drama,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",Mikael Håfström,Andreas WilsonHenrik LundströmGustaf Skarsgård
637,The Notebook,"Drama, Romance","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",Nick Cassavetes,Gena RowlandsJames GarnerRachel McAdams
638,Diarios de motocicleta,"Adventure, Biography, Drama",The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,Walter Salles,Gael García BernalRodrigo De la SernaMía Maestro
639,Lilja 4-ever,"Crime, Drama","Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",Lukas Moodysson,Oksana AkinshinaArtyom BogucharskiyPavel Ponomaryov
640,Les triplettes de Belleville,"Animation, Comedy, Drama","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",Sylvain Chomet,Michèle CaucheteuxJean-Claude DondaMichel Robin
641,Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller","After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Chan-wook Park,Lee Yeong-aeLee Byung-HunKang-ho Song
642,The Count of Monte Cristo,"Action, Adventure, Drama","A young man, falsely imprisoned by his jealous ""friend"", escapes and uses a hidden treasure to exact his revenge.",Kevin Reynolds,Jim CaviezelGuy PearceChristopher Adamson
643,Waking Life,"Animation, Drama, Fantasy",A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,Richard Linklater,Ethan HawkeTrevor Jack BrooksLorelei Linklater
644,Remember the Titans,"Biography, Drama, Sport",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,Boaz Yakin,Denzel WashingtonWill PattonWood Harris
645,Wo hu cang long,"Action, Adventure, Fantasy",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.,Ang Lee,Yun-Fat ChowMichelle YeohZiyi Zhang
646,Todo sobre mi madre,Drama,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",Pedro Almodóvar,Cecilia RothMarisa ParedesCandela Peña
647,Cast Away,"Adventure, Drama, Romance",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,Robert Zemeckis,Tom HanksHelen HuntPaul Sanchez
648,The Boondock Saints,"Action, Crime, Thriller",Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,Troy Duffy,Willem DafoeSean Patrick FlaneryNorman Reedus
649,The Insider,"Biography, Drama, Thriller",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,Michael Mann,Russell CroweAl PacinoChristopher Plummer
650,October Sky,"Biography, Drama, Family","The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",Joe Johnston,Jake GyllenhaalChris CooperLaura Dern
651,Shrek,"Animation, Adventure, Comedy","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.",Andrew Adamson,Vicky JensonMike MyersEddie Murphy
652,Titanic,"Drama, Romance","A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",James Cameron,Leonardo DiCaprioKate WinsletBilly Zane
653,Hana-bi,"Crime, Drama, Romance","Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.",Takeshi Kitano,Takeshi KitanoKayoko KishimotoRen Osugi
654,Gattaca,"Drama, Sci-Fi, Thriller",A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,Andrew Niccol,Ethan HawkeUma ThurmanJude Law
655,The Game,"Action, Drama, Mystery","After a wealthy banker is given an opportunity to participate in a mysterious game, his life is turned upside down when he becomes unable to distinguish between the game and reality.",David Fincher,Michael DouglasDeborah Kara UngerSean Penn
656,Breaking the Waves,Drama,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",Lars von Trier,Emily WatsonStellan SkarsgårdKatrin Cartlidge
657,Ed Wood,"Biography, Comedy, Drama","Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",Tim Burton,Johnny DeppMartin LandauSarah Jessica Parker
658,What's Eating Gilbert Grape,Drama,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,Lasse Hallström,Johnny DeppLeonardo DiCaprioJuliette Lewis
659,Tombstone,"Action, Biography, Drama","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",George P. Cosmatos,Kevin JarreKurt RussellVal Kilmer
660,The Sandlot,"Comedy, Drama, Family","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",David Mickey Evans,Tom GuiryMike VitarArt LaFleur
661,The Remains of the Day,"Drama, Romance",A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,James Ivory,Anthony HopkinsEmma ThompsonJohn Haycraft
662,Naked,"Comedy, Drama","Parallel tales of two sexually obsessed men, one hurting and annoying women physically and mentally, one wandering around the city talking to strangers and experiencing dimensions of life.",Mike Leigh,David ThewlisLesley SharpKatrin Cartlidge
663,The Fugitive,"Action, Crime, Drama","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",Andrew Davis,Harrison FordTommy Lee JonesSela Ward
664,A Bronx Tale,"Crime, Drama, Romance",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Robert De Niro,Robert De NiroChazz PalminteriLillo Brancato
665,Batman: Mask of the Phantasm,"Animation, Action, Crime",Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,Kevin Altieri,Boyd KirklandFrank PaurDan Riba
666,Lat sau san taam,"Action, Crime, Thriller",A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,John Woo,Yun-Fat ChowTony Chiu-Wai LeungTeresa Mo
667,Night on Earth,"Comedy, Drama",An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,Jim Jarmusch,Winona RyderGena RowlandsLisanne Falk
668,La double vie de Véronique,"Drama, Fantasy, Music","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.",Krzysztof Kieslowski,Irène JacobWladyslaw KowalskiHalina Gryglaszewska
669,Boyz n the Hood,"Crime, Drama","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",John Singleton,Cuba Gooding Jr.Laurence FishburneHudhail Al-Amir
670,Misery,"Drama, Thriller","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",Rob Reiner,James CaanKathy BatesRichard Farnsworth
671,Awakenings,"Biography, Drama","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",Penny Marshall,Robert De NiroRobin WilliamsJulie Kavner
672,Majo no takkyûbin,"Animation, Adventure, Drama","A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,Kirsten DunstMinami TakayamaRei Sakuma
673,Glory,"Biography, Drama, History","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Edward Zwick,Matthew BroderickDenzel WashingtonCary Elwes
674,Dip huet seung hung,"Action, Crime, Drama",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,John Woo,Yun-Fat ChowDanny LeeSally Yeh
675,Back to the Future Part II,"Adventure, Comedy, Sci-Fi","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Robert Zemeckis,Michael J. FoxChristopher LloydLea Thompson
676,Mississippi Burning,"Crime, Drama, History",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Alan Parker,Gene HackmanWillem DafoeFrances McDormand
677,Predator,"Action, Adventure, Sci-Fi",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan,Arnold SchwarzeneggerCarl WeathersKevin Peter Hall
678,Evil Dead II,"Action, Comedy, Fantasy",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi,Bruce CampbellSarah BerryDan Hicks
679,Ferris Bueller's Day Off,Comedy,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",John Hughes,Matthew BroderickAlan RuckMia Sara
680,Down by Law,"Comedy, Crime, Drama","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jim Jarmusch,Tom WaitsJohn LurieRoberto Benigni
681,The Goonies,"Adventure, Comedy, Family",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner,Sean AstinJosh BrolinJeff Cohen
682,The Color Purple,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Steven Spielberg,Danny GloverWhoopi GoldbergOprah Winfrey
683,The Breakfast Club,"Comedy, Drama",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,John Hughes,Emilio EstevezJudd NelsonMolly Ringwald
684,The Killing Fields,"Biography, Drama, History","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",Roland Joffé,Sam WaterstonHaing S. NgorJohn Malkovich
